deer_w2,moose_w2,elk_w2,sheep_w2,goat_w2,wolf_w2,Elevation2,DistFromHumanAccess2,DistFromHighHumanAccess2,landcover16,EASTING,NORTHING,pack,used,usedFactor,habitatType,landcov.f,closedConif,modConif,openConif,decid,regen,mixed,herb,shrub,water,rockIce,burn,alpineHerb,alpineShrub,alpine
5,5,5,3,1,5,1402,668.3513675,477.9947836,1,586500,5673200,Bow Valley,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,3,4,1,1,5,1458.387111,197.4134405,0,2,582700,5676600,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,4,6,1,3,6,1403.22,88.14701542,12.0792198,2,585440,5674890,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,3,4,5,5,4,1948.627111,1058.43334,1559.77716,12,586100,5677050,Bow Valley,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,4,4,3,4,1497.286667,39.68403336,581.5939333,3,585150,5676700,Bow Valley,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,397.1094608,219.8194515,5,587700,5671860,Bow Valley,1,1,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1402,302.803157,350.5482868,9,584100,5675400,Bow Valley,1,1,Water,Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,4,4,1,3,4,1459.22,145.7096104,0,2,575500,5680500,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1432.686667,132.3741481,9.1821433,2,582200,5676400,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,4,1,1,5,1436.052889,17.41344047,0,1,582900,5676100,Bow Valley,1,1,Open Conifer,Open Conifer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,3,6,1,3,6,1546.452444,632.4237075,449.1432636,3,588200,5673100,Bow Valley,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1420.366222,259.5213569,166.7534071,2,582200,5675850,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1,6,5,1,6,1409.679556,9.684033358,196.8947752,8,584900,5675850,Bow Valley,1,1,Shrub,Shrub,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,3,4,1,1,5,1423.286667,200.8028814,91.82201805,3,584800,5676200,Bow Valley,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,1,5,1402.78,84.1720543,144.9315042,2,586800,5672050,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,4,1,1,5,1415.313333,154.8599029,91.82201805,5,584800,5676050,Bow Valley,1,1,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,5,4,4,3,5,1402,285.3743681,254.5527733,5,589400,5669300,Bow Valley,1,1,Mixed,Mixed,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,5,4,3,1,4,1448.32,377.4134405,293.9730068,2,578850,5679350,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,1,3,4,1433,168.280967,94.09125459,2,577200,5678950,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,1,1,4,1440,280.6404373,194.4070613,2,573450,5681500,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1426.387111,381.5423298,343.3776819,2,582400,5675900,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1430,371.5394855,73.72128394,2,582150,5676100,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,4,1,1,5,1434.78,341.7762989,328.3038064,2,583600,5676400,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4,5,4,3,5,1445.593333,602.2332624,494.8486146,2,585600,5675800,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,3,4,1,1,5,1458.306667,295.2962649,91.82201805,3,584800,5676370,Bow Valley,1,1,Closed Conifer,Closed Conifer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1420,210.5937466,159.2433092,9,580000,5677300,Bow Valley,1,1,Water,Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1,6,5,1,6,1423.126667,182.2824491,449.0520129,12,585200,5676000,Bow Valley,1,1,Burn-Forest,Burn,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5,4,1,3,4,1443.44,27.90951448,5.648841071,2,574300,5681150,Bow Valley,1,1,Moderate Conifer,Moderate Conifer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,1,5,1432,449.894335,243.2960086,9,579600,5678400,Bow Valley,1,1,Water,Water,0,0,0,0,0,0,0,0,1,0,0,0,0,0
